series,tau,effective_guaranteed_miscoverage,cal_size,attainable_floor
FTSE,0.01,,60,0.01639344262295082
FTSE,0.025,0.016393442622950838,60,0.01639344262295082
FTSE,0.05,0.049180327868852514,60,0.01639344262295082
