series,tau,effective_guaranteed_miscoverage,cal_size,attainable_floor
Gold,0.01,,60,0.01639344262295082
Gold,0.025,0.016393442622950838,60,0.01639344262295082
Gold,0.05,0.049180327868852514,60,0.01639344262295082
