p_target,exceed,n,rate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ,pinball,series,model,tau,FZ0,ES_ratio,note,evaluated_at_effective_level,order_statistic_k
0.01,52,1448,0.0359116022099447,58.91213956348112,1.6542323066914832e-14,3.986239516101591,0.045873337148674,62.89837907958271,2.19824158875781e-14,214.08301902279464,0.0,0.2455854305225639,BTC-USD,QR-base,0.01,,,,,
0.025,27,1448,0.018646408839779,2.6258203790622314,0.1051381518749746,0.3976285174085774,0.528316537510527,3.023448896470809,0.2205293584113782,21.07444347086701,0.0017789583049409,0.4465596908368405,BTC-USD,CQR-1s,0.025,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.025,97,1448,0.066988950276243,72.27326701913232,0.0,0.0428187452256452,0.836066941797653,72.31608576435796,2.220446049250313e-16,193.99233755157047,0.0,0.4052235700158937,BTC-USD,QR-base,0.025,,,,,
0.05,69,1448,0.0476519337016574,0.1706250090273462,0.6795569387544216,0.8572200824755782,0.3545178027885588,1.0278450915029245,0.5981447211185156,36.33619885467322,2.3713911861955594e-06,0.5735263312981417,BTC-USD,CQR-1s,0.05,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.05,164,1448,0.1132596685082873,91.23217034239946,0.0,0.3860262703184389,0.5343955937163132,91.6181966127179,0.0,252.1888413589711,0.0,0.6094322727185608,BTC-USD,QR-base,0.05,,,,,
0.01,19,1448,0.0131215469613259,1.2977494181043951,0.2546247278265576,1.3370018909185148,0.2475633835728097,2.63475130902291,0.2678372780013297,10.647461382882469,0.0999025336916181,0.1820497636296959,BTC-USD,GARCH-t,0.01,2.873218502855505,0.9238579144134226,,,
0.025,38,1448,0.0262430939226519,0.0903510265693587,0.7637313714970508,0.8322476309099329,0.3616234072981981,0.9225986574792916,0.6304639331766686,4.76196519201539,0.5746851580461889,0.3385039396399821,BTC-USD,GARCH-t,0.025,2.5689440377618467,0.9987797096959228,,,
0.05,78,1448,0.0538674033149171,0.4452225819989959,0.5046124489016053,1.7660281287594444,0.1838743942030918,2.2112507107584403,0.331003822484829,7.872747966366202,0.2475751814880121,0.5198558272108681,BTC-USD,GARCH-t,0.05,2.2974986903505354,1.007716397768688,,,
0.01,15,1448,0.0103591160220994,0.0186430737486169,0.8913946884509993,2.13174997901001,0.1442759585473333,2.150393052758627,0.3412306878793512,15.195248165553089,0.0187912890206889,0.1871357840233086,BTC-USD,FHS,0.01,2.903163744834119,1.0169261276437036,,,
0.025,35,1448,0.024171270718232,0.0412456716763371,0.8390644499125153,3.564952086418714,0.0590114436154097,3.606197758095051,0.1647874398279415,12.146783998134696,0.0587732088902699,0.3411364297391795,BTC-USD,FHS,0.025,2.5728584847084406,0.992847437351356,,,
0.05,69,1448,0.0476519337016574,0.1706250090273462,0.6795569387544216,0.8572200824755782,0.3545178027885588,1.0278450915029245,0.5981447211185156,5.496095034190895,0.4819287985911561,0.525691171220737,BTC-USD,FHS,0.05,2.3032101409099184,0.97993194170052,,,
0.01,12,1448,0.0082872928176795,0.4556062539088064,0.4996845873245567,0.2006992032730181,0.6541570602575173,0.6563054571818245,0.7202530080775307,9.74175031252395,0.1359572592109341,0.1861136098017788,BTC-USD,GARCH-EVT,0.01,2.8880536001930217,1.1209454210857437,,,
0.025,34,1448,0.0234806629834254,0.1399220616151435,0.7083585058758617,1.357500587836796,0.2439711216115299,1.4974226494519396,0.4729756722321281,6.5304797211242205,0.3664550573902925,0.3411350116016107,BTC-USD,GARCH-EVT,0.025,2.571358155040787,0.9771281291753834,,,
0.05,68,1448,0.0469613259668508,0.2870500637475448,0.5921171500059312,0.9717638127785904,0.3242406827156967,1.2588138765261352,0.5329077545061831,4.748576482843761,0.5764405537501189,0.5269928120947394,BTC-USD,GARCH-EVT,0.05,2.3059464381070742,0.9789449486115576,,,
0.01,29,1448,0.0200276243093922,11.390162608326891,0.0007383406715677,2.251150148571867,0.1335151341187662,13.64131275689876,0.0010910045753164,40.164846972736086,4.227672905088298e-07,0.1987274211234749,BTC-USD,RiskMetrics,0.01,3.235208668398591,1.3576279317776132,,,
0.025,43,1448,0.029696132596685,1.2369309563106992,0.2660633542116918,1.8227394933472847,0.1769875331129308,3.0596704496579843,0.2165713499573442,8.331038447191704,0.214839777417091,0.3426467326958387,BTC-USD,RiskMetrics,0.025,2.6682993533973205,1.3346273916527658,,,
0.05,56,1448,0.0386740331491712,4.227033374600463,0.0397849219197501,3.003803577392887,0.0830692853288814,7.23083695199335,0.0269056634866666,10.166709486429944,0.1178048097793593,0.5268027843775919,BTC-USD,RiskMetrics,0.05,2.337770863817417,1.3799819700577418,,,
0.01,20,1448,0.0138121546961325,1.8998384497041696,0.1680964027659397,0.5606350336230435,0.454004490996286,2.4604734833272133,0.2922233880401178,11.292692758960753,0.0797408221629016,0.1866779844956728,BTC-USD,Hist,0.01,2.9362808588416742,1.1336893075289305,,,
0.025,38,1448,0.0262430939226519,0.0903510265693587,0.7637313714970508,2.8235690784142093,0.0928896457289552,2.913920104983568,0.2329433349829566,18.901362384026218,0.0043335006232768,0.3557143814103646,BTC-USD,Hist,0.025,2.632968532793324,1.068618094542458,,,
0.05,69,1448,0.0476519337016574,0.1706250090273462,0.6795569387544216,0.8572200824755782,0.3545178027885588,1.0278450915029245,0.5981447211185156,12.516288923345178,0.0513937435143582,0.5421389229707918,BTC-USD,Hist,0.05,2.3604974778267294,1.0386373365853387,,,
0.01,63,1448,0.0435082872928176,89.88725160478101,0.0,0.5580264061360367,0.4550565282263094,90.44527801091704,0.0,185.88339253126023,0.0,0.2514934680826129,BTC-USD,Fixed-coefficient-control,0.01,4.602147131766269,1.4791060476450826,,,
0.025,90,1448,0.0621546961325966,58.411826484881246,2.131628207280301e-14,2.0300623597555614,0.1542142796046713,60.44188884463681,7.505107646466058e-14,104.52585984138022,0.0,0.3780673768346038,BTC-USD,Fixed-coefficient-control,0.025,3.2542694954778155,1.459791134372421,,,
0.05,120,1448,0.0828729281767955,27.73494713997013,1.391265436190281e-07,3.8059311460827994,0.0510713719713454,31.54087828605293,1.415745868316165e-07,60.44449936343691,3.655842295557932e-11,0.5373963134850237,BTC-USD,Fixed-coefficient-control,0.05,2.6164664288478403,1.459026376595203,,,
0.025,27,1448,0.018646408839779,2.6258203790622314,0.1051381518749746,0.3976285174085774,0.528316537510527,3.023448896470809,0.2205293584113782,17.988843932020778,0.0062601352229836,0.3694210042899299,BTC-USD,TCP,0.025,,,,,
0.025,27,1448,0.018646408839779,2.6258203790622314,0.1051381518749746,0.3976285174085774,0.528316537510527,3.023448896470809,0.2205293584113782,17.989618585956634,0.0062581912016539,0.3694125529249309,BTC-USD,TCP-RM,0.025,,,,,
0.025,31,1448,0.0214088397790055,0.8046706933727723,0.3697005675986389,0.1543582086362107,0.694404810567159,0.959028902008983,0.6190839144137905,14.558132761602687,0.0239863788931247,0.3708006398138859,BTC-USD,ACI-fixed,0.025,,,,,
0.025,79,1448,0.0545580110497237,39.01225508991368,4.2115344545123884e-10,0.6664456895083504,0.4142935528107514,39.67870077942203,2.420357914090232e-09,115.57971544097362,0.0,0.3941918996319502,BTC-USD,Reversed-sign-control,0.025,,,,,
0.025,27,1448,0.018646408839779,2.6258203790622314,0.1051381518749746,0.3976285174085774,0.528316537510527,3.023448896470809,0.2205293584113782,18.03209997879405,0.0061524744111067,0.369570377547537,BTC-USD,CQR,0.025,,,,,
