coverage,width,winkler,n,n_missing,series,model
0.9482044198895028,2.57632587098006,3.321698605418839,1448,0,JPYUSD=X,TCP
0.9482044198895028,2.5765193302288774,3.3206328334422595,1448,0,JPYUSD=X,TCP-RM
0.9482044198895028,2.5737573482937206,3.323790552794464,1448,0,JPYUSD=X,CQR
0.9426795580110497,2.665582052555597,3.463950218301354,1448,0,JPYUSD=X,ACI-fixed
0.8266574585635359,1.6908047588801414,4.476080126242189,1448,0,JPYUSD=X,Reversed-sign-control
0.8176795580110497,1.5538870977404478,4.446116548554535,1448,0,JPYUSD=X,QR-base
0.9392265193370166,2.206955921494747,3.1363225781512862,1448,0,JPYUSD=X,GARCH-t
0.9412983425414365,2.188346329533891,3.16359209414001,1448,0,JPYUSD=X,FHS
0.9412983425414365,2.214071490744702,3.15693154919352,1448,0,JPYUSD=X,GARCH-EVT
0.9406077348066298,2.1542583558677313,3.065202633538193,1448,0,JPYUSD=X,RiskMetrics
0.9212707182320442,2.197815134614501,3.4865754934709514,1448,0,JPYUSD=X,Hist
0.8308011049723757,1.507585500026672,3.725185413470465,1448,0,JPYUSD=X,Fixed-coefficient-control
